scenario,method,water_l,place_settings,source_type,note,water_per_place_setting_l,water_for_12_place_settings_l,water_saved_vs_hand_washing_l,water_saved_percent,water_for_12_place_settings_per_year_l,water_saved_per_year_l,water_for_12_place_settings_per_year_m3,water_saved_per_year_m3
Dishwasher - EU average,Dishwasher,10.0,12.0,EU average,EU average in 2020,0.8333333333333334,10.0,44.0,81.48148148148148,3650.0,16060.0,3.65,16.06
Dishwasher - efficient,Dishwasher,9.0,15.0,EU efficient technology,"Efficient dishwasher, up to 15 place settings",0.6,7.199999999999999,46.8,86.66666666666666,2627.9999999999995,17082.0,2.6279999999999997,17.082
Dishwasher - Consumer NZ,Dishwasher,13.0,12.0,Consumer test,Full load,1.0833333333333333,13.0,41.0,75.92592592592592,4745.0,14965.0,4.745,14.965
Dishwasher - review minimum,Dishwasher,12.0,12.0,Scientific review,Lowest reported country-level average,1.0,12.0,42.0,77.77777777777779,4380.0,15330.0,4.38,15.33
Dishwasher - review maximum,Dishwasher,17.7,12.0,Scientific review,Highest reported country-level average,1.4749999999999999,17.7,36.3,67.22222222222221,6460.5,13249.499999999998,6.4605,13.249499999999998
Dishwasher + UK pre-rinsing,Dishwasher + pre-rinsing,17.4,12.0,Scenario calculation,13 L dishwasher + 4.4 L UK pre-rinsing,1.45,17.4,36.6,67.77777777777779,6350.999999999999,13359.0,6.350999999999999,13.359
Dishwasher + Italy pre-rinsing,Dishwasher + pre-rinsing,32.7,12.0,Scenario calculation,13 L dishwasher + 19.7 L Italy pre-rinsing,2.725,32.7,21.299999999999997,39.444444444444436,11935.500000000002,7774.499999999999,11.935500000000001,7.774499999999999
Hand washing - Consumer NZ,Hand washing,39.0,12.0,Consumer test,Includes pre-rinsing,3.25,39.0,15.0,27.77777777777778,14235.0,5475.0,14.235,5.475
Hand washing - observed minimum,Hand washing,34.7,12.0,Scientific review,Lowest country-level average reported,2.891666666666667,34.7,19.299999999999997,35.74074074074073,12665.500000000002,7044.499999999999,12.665500000000002,7.044499999999999
Hand washing - observed maximum,Hand washing,160.1,12.0,Scientific review,Highest country-level average reported,13.341666666666667,160.1,-106.1,-196.48148148148147,58436.5,-38726.5,58.4365,-38.7265
Hand washing - direct comparison,Hand washing,103.0,12.0,Scientific review,Direct comparison reported in review,8.583333333333334,103.0,-49.0,-90.74074074074075,37595.0,-17885.0,37.595,-17.885
Dishwasher - Which? main programme,Dishwasher,0.926,1.0,Which? practical testing,Average water use of 33 recently tested dishwashers,0.926,11.112,42.888,79.42222222222222,4055.88,15654.119999999999,4.05588,15.654119999999999
Dishwasher - Which? eco programme,Dishwasher,0.696,1.0,Which? practical testing,Average water use of 33 recently tested dishwashers,0.696,8.352,45.647999999999996,84.53333333333333,3048.48,16661.519999999997,3.04848,16.661519999999996
Hand washing - Which? estimate,Hand washing,4.5,1.0,Which? estimated scenario,Estimated from a 9-L washing-up bowl for approximately two place settings,4.5,54.0,0.0,0.0,19710.0,0.0,19.71,0.0
